CT	PRR95	Campo
-1.44	-0.823928268	C1
-1.44	-0.819725788	C1
0.52173913	-0.798188078	C1
0.52173913	-0.794736041	C1
2.608695652	0.377830923	C1
2.608695652	0.433738916	C1
4.695652174	0.45062388	C1
4.695652174	0.247403954	C1
6.782608696	1.057807195	C1
6.782608696	0.806108661	C1
8.869565217	2.423237973	C1
8.869565217	1.609908005	C1
10.95652174	1.329317421	C1
10.95652174	0.852711162	C1
12.96	-0.690499528	C1
12.96	-0.773198331	C1
14.88	-0.791734269	C1
14.88	-0.825729331	C1
16.8	-0.810945606	C1
16.8	-0.827605438	C1
18.72	-0.805017108	C1
20.64	-0.827380305	C1
-1.953488372	-0.908910413	C2
-1.953488372	-0.319878727	C2
0.226415094	-0.742773271	C2
0.226415094	-0.721628544	C2
2.037735849	-0.338002779	C2
2.037735849	0.1906154	C2
3.849056604	1.317327292	C2
3.849056604	1.113431708	C2
5.660377358	1.353575396	C2
5.660377358	1.211603656	C2
7.471698113	1.278058513	C2
7.471698113	1.278058513	C2
9.283018868	1.329409993	C2
9.283018868	1.426071603	C2
11.09433962	1.176563822	C2
11.09433962	0.843685403	C2
13.11627907	0.175512024	C2
13.11627907	-0.159782936	C2
15.34883721	-0.839434881	C2
15.34883721	-1.044840802	C2
17.58139535	-0.857558933	C2
17.58139535	-1.262329425	C2
19.81395349	-1.126399036	C2
19.81395349	-0.887765686	C2
