ProbeName	Module	-02	00	02	04	06	08	10	12	14	16	18	20
GS1_SS_00054_14737	l1_blue1_01	-0.339252114370726	0.488152026170508	-0.335968764606674	-0.818621179922394	-0.0946425569488138	-0.230244902204183	-1.13546443215346	-0.485361178871063	-0.771012608343632	-0.313149483746509	2.48754786499029	1.54801733000666
GS1_SS_00270_03274	l1_blue1_01	0.702717839769396	-0.157860074770847	-0.385748303011469	-1.00194607805683	-0.949471814975113	-1.34227915575829	-0.691598293544936	-0.273303453550636	-0.0298228728514454	0.419356819128096	1.93781206624719	1.77214332137489
GS1_SS_00292_13707	l1_blue1_01	0.01624600557557	-0.0279806188947251	-0.294654027829475	-0.527425735567871	-0.585042494909058	-0.492855679963159	-0.534339746688813	-0.737150739569792	-0.757892772932619	-0.412192216885497	2.17710494790745	2.17618307975799
GS1_SS_00435_10744	l1_blue1_01	0.497682566995008	-0.266812917840841	-0.223453472432241	-0.79169041489232	-0.9514357400819	-0.420853052845079	0.119998976725357	0.702729384332279	1.07504781375163	0.596838772416255	-2.14952567900375	1.8114737628756
GS1_SS_00460_09519	l1_blue1_01	0.419284887144075	0.907863355076666	0.419284887144075	-0.698808145240124	-0.721357920683167	-1.38093885239216	-0.896118680366747	-0.944976527160006	-0.0561395451134083	-0.204592233446772	0.80826851353656	2.34823026150102
GS1_SS_00526_08262	l1_blue1_01	-0.416558283917782	-0.0635427890722041	-0.522859578994878	-1.46370536975186	-0.503820541070622	-0.783059763959709	-0.475261984184238	0.108919162791681	-0.148425166484512	0.240288524469046	2.2481137322312	1.77991205794387
GS1_SS_00658_00816	l1_blue1_01	0.478256397892258	1.13375913119249	-0.505599080712487	-1.24890309755568	-1.07450328777856	-0.981890975000359	-0.805085650605619	-0.367281990199595	0.220866333807398	-0.206834165204641	1.82305934487021	1.53415703929459
GS1_SS_00683_02259	l1_blue1_01	0.584722233120396	0.168815909462332	-0.0751201590202627	-1.20507689003734	-1.15055733450164	-1.47611696612911	-0.448033918884459	-0.0218467647539489	-0.183536189456971	0.242027884038845	1.6776056663732	1.88711652978896
GS1_SS_00756_00145	l1_blue1_01	-0.374260387116415	0.457484017783366	0.121761059939587	-0.776574547037998	-1.28569287871318	-1.22666466634504	-0.512792223017886	-0.177438191501408	0.018461688295347	-0.133351495388955	1.93983000087821	1.94923762222438
GS1_SS_01009_16074	l1_blue1_01	0.241906026244906	0.134366813821065	0.141231018869395	-0.355737426629716	-1.15610373526502	-1.35287761331716	-0.609255399748047	-0.59781505800083	-0.138599740267535	-0.253231964574651	2.05131047698476	1.89480660188283
GS1_SS_01021_13234	l1_blue1_01	0.06349288464756	0.420246882116406	0.241170365739887	-0.0540260792245305	-1.9301323953254	-0.852875226497907	-0.645818004437557	0.196401236645757	-0.290742849309741	-0.672399674837197	1.9875861109962	1.53709674948652
GS1_SS_01109_20881	l1_blue1_01	-0.0898228975022627	-1.91123165240926	0.0141387894216524	-0.559729722398359	-1.7053875122999	-0.763286705395385	0.694048221904057	0.781376038920146	0.558898028902968	0.847911518551451	0.805703073660342	1.32738281864455
