ZT	CT	PRR37	Campo	Organ	Temperature	Light
-1.5	-1.411764706	0.000153196	east side	L1	16	0
0.5	0.533333333	0.000232278	east side	L1	18	2677
2.5	2.666666667	0.000817862	east side	L1	26.1	21200
4.5	4.8	0.001178266	east side	L1	31	38400
6.5	6.933333333	0.006485585	east side	L1	27.7	32050
8.5	9.066666667	0.008063321	east side	L1	27.1	35100
10.5	11.2	0.005120468	east side	L1	24.4	5980
12.5	13.17647059	0.007030119	east side	L1	30.1	0
16.5	16.94117647	0.000902007	east side	L1	16.8	0
20.5	20.70588235	0.000457373	east side	L1	14.2	0
22.5	22.58823529	0.000134742	east side	L1	13.5	0
24.5	24.53333333	0.003108996	east side	L1	20.2	2677
-1.5	-1.411764706	7.96261E-05	east side	L1	16	0
0.5	0.533333333	0.000124535	east side	L1	18	2677
2.5	2.666666667	0.001059974	east side	L1	26.1	21200
4.5	4.8	0.001164875	east side	L1	31	38400
6.5	6.933333333	0.001387249	east side	L1	27.7	32050
8.5	9.066666667	0.00189404	east side	L1	27.1	35100
10.5	11.2	0.001557077	east side	L1	24.4	5980
12.5	13.17647059	0.002777714	east side	L1	30.1	0
16.5	16.94117647	0.000710006	east side	L1	16.8	0
20.5	20.70588235	0.000128013	east side	L1	14.2	0
22.5	22.58823529	0.000100603	east side	L1	13.5	0
24.5	24.53333333	7.3253E-05	east side	L1	20.2	2677
-1.5	-1.411764706	3.87387E-05	west side	L1	15.2	0
0.5	0.533333333	5.89773E-05	west side	L1	17	1760
2.5	2.666666667	0.000468241	west side	L1	20.2	9660
4.5	4.8	0.002519742	west side	L1	26.8	31600
6.5	6.933333333	0.002573785	west side	L1	29.1	30400
8.5	9.066666667	0.000941637	west side	L1	35.8	31700
10.5	11.2	0.001631311	west side	L1	26.4	6170
12.5	13.17647059	0.001768453	west side	L1	19.7	0
16.5	16.94117647	0.000504328	west side	L1	16.4	0
20.5	20.70588235	0.000121553	west side	L1	14.2	0
22.5	22.58823529	0.000107467	west side	L1	13.2	0
24.5	24.53333333	0.000144642	west side	L1	13.8	1760
-1.5	-1.411764706	8.64517E-05	west side	L1	15.2	0
0.5	0.533333333	4.57967E-05	west side	L1	17	1760
2.5	2.666666667	0.001657453	west side	L1	20.2	9660
4.5	4.8	0.00179251	west side	L1	26.8	31600
6.5	6.933333333	1.71E-03	west side	L1	29.1	30400
8.5	9.066666667	0.002043646	west side	L1	35.8	31700
10.5	11.2	0.002738513	west side	L1	26.4	6170
12.5	13.17647059	0.003009755	west side	L1	19.7	0
16.5	16.94117647	0.000513511	west side	L1	16.4	0
20.5	20.70588235	6.38717E-05	west side	L1	14.2	0
22.5	22.58823529	0.000188297	west side	L1	13.2	0
24.5	24.53333333	0.000170141	west side	L1	13.8	1760
