nodeName	altName	nodeAttr[nodesPresent, ]
GS1_SS_06632_09522	NA	cornflowerblue
GS1_SS_06639_04363	NA	blue1
GS1_SS_06645_08721	NA	cornflowerblue
GS1_SS_06647_13832	NA	lavender
GS1_SS_06648_00226	NA	lavender
GS1_SS_06649_10194	NA	cornflowerblue
GS1_SS_06650_15167	NA	lightskyblue4
GS1_SS_06659_16547	NA	darkviolet
GS1_SS_06660_09321	NA	cornflowerblue
GS1_SS_06661_12550	NA	darkviolet
GS1_SS_06668_15370	NA	lavender
GS1_SS_06674_11179	NA	darkviolet
GS1_SS_06678_10154	NA	darkviolet
GS1_SS_06683_14464	NA	antiquewhite2
GS1_SS_06686_10635	NA	lightskyblue4
GS1_SS_06692_14115	NA	antiquewhite2
GS1_SS_06714_08081	NA	blue1
GS1_SS_06715_10533	NA	lightskyblue4
GS1_SS_06717_05588	NA	cornflowerblue
GS1_SS_06718_03587	NA	cornflowerblue
GS1_SS_06721_12366	NA	cornflowerblue
GS1_SS_06723_10429	NA	blue1
GS1_SS_06725_14123	NA	darkviolet
GS1_SS_06737_20349	NA	coral4
GS1_SS_06758_16575	NA	blue1
GS1_SS_06759_07054	NA	cornflowerblue
GS1_SS_06761_04379	NA	cornflowerblue
GS1_SS_06766_09954	NA	darkviolet
GS1_SS_06770_12962	NA	cornflowerblue
GS1_SS_06771_08607	NA	darkviolet
GS1_SS_06773_13622	NA	coral4
GS1_SS_06784_21451	NA	cornflowerblue
GS1_SS_06787_09749	NA	cornflowerblue
GS1_SS_06792_07689	NA	cornflowerblue
GS1_SS_06796_08148	NA	coral4
GS1_SS_06799_18617	NA	darkviolet
GS1_SS_06809_12303	NA	plum3
GS1_SS_06815_02913	NA	lavender
GS1_SS_06822_09373	NA	lightskyblue4
GS1_SS_06832_09523	NA	lavender
GS1_SS_06833_17587	NA	darkviolet
GS1_SS_06839_14194	NA	darkviolet
GS1_SS_06846_14105	NA	darkviolet
GS1_SS_06848_13857	NA	darkviolet
GS1_SS_06851_15580	NA	lightpink3
GS1_SS_06853_10677	NA	lavender
GS1_SS_06857_11417	NA	cornflowerblue
GS1_SS_06863_19125	NA	plum3
GS1_SS_06867_10176	NA	lavender
GS1_SS_06868_04531	NA	blue1
GS1_SS_06871_19113	NA	cornflowerblue
GS1_SS_06872_15562	NA	lightskyblue4
GS1_SS_06876_11018	NA	lavender
GS1_SS_06878_20905	NA	blue1
GS1_SS_06880_08305	NA	lightskyblue4
GS1_SS_06885_18778	NA	lavender
GS1_SS_06888_12348	NA	blue1
GS1_SS_06890_11474	NA	cornflowerblue
GS1_SS_06900_05604	NA	lavender
GS1_SS_06904_13038	NA	darkviolet
GS1_SS_06905_18323	NA	lavender
GS1_SS_06906_10986	NA	darkviolet
GS1_SS_06907_13938	NA	cornflowerblue
GS1_SS_06913_10229	NA	lavender
GS1_SS_06920_06512	NA	blue1
GS1_SS_06935_21448	NA	lavender
GS1_SS_06941_08414	NA	coral4
GS1_SS_06944_10613	NA	lightskyblue4
GS1_SS_06951_11800	NA	cornflowerblue
GS1_SS_06955_15110	NA	coral4
GS1_SS_06956_03820	NA	lavender
GS1_SS_06967_13352	NA	cornflowerblue
GS1_SS_06970_09580	NA	cornflowerblue
GS1_SS_06978_08186	NA	cornflowerblue
GS1_SS_06979_13285	NA	cornflowerblue
GS1_SS_06980_10362	NA	cornflowerblue
GS1_SS_06981_05103	NA	darkviolet
GS1_SS_06982_12903	NA	lightskyblue4
GS1_SS_06985_18734	NA	cornflowerblue
GS1_SS_06993_02425	NA	coral4
GS1_SS_06996_06682	NA	cornflowerblue
GS1_SS_06998_21074	NA	lavender
GS1_SS_07003_21437	NA	coral4
GS1_SS_07004_11116	NA	lightskyblue4
GS1_SS_07006_00933	NA	coral4
GS1_SS_07010_03724	NA	darkviolet
GS1_SS_07011_21789	NA	lavender
GS1_SS_07017_09773	NA	coral4
GS1_SS_07023_01108	NA	cornflowerblue
GS1_SS_07033_20258	NA	darkviolet
GS1_SS_07037_21266	NA	lightskyblue4
GS1_SS_07038_10129	NA	lightskyblue4
GS1_SS_07043_04928	NA	darkviolet
GS1_SS_07049_01534	NA	lavender
GS1_SS_07061_11014	NA	cornflowerblue
GS1_SS_07065_12951	NA	antiquewhite2
GS1_SS_07068_09635	NA	lavender
GS1_SS_07069_13958	NA	coral4
GS1_SS_07083_02887	NA	coral4
GS1_SS_07084_00155	NA	lavender
GS1_SS_07086_00913	NA	coral4
GS1_SS_07089_17031	NA	lavender
GS1_SS_07090_15442	NA	cornflowerblue
GS1_SS_07094_18544	NA	cornflowerblue
GS1_SS_07096_04840	NA	antiquewhite2
GS1_SS_07097_15694	NA	coral4
GS1_SS_07100_07096	NA	darkviolet
GS1_SS_07105_10369	NA	darkviolet
GS1_SS_07109_04918	NA	darkviolet
GS1_SS_07110_21372	NA	coral4
GS1_SS_07114_11818	NA	cornflowerblue
GS1_SS_07117_15067	NA	darkviolet
GS1_SS_07118_15123	NA	coral4
GS1_SS_07122_06922	NA	cornflowerblue
GS1_SS_07123_11696	NA	cornflowerblue
GS1_SS_07124_11310	NA	cornflowerblue
GS1_SS_07130_18380	NA	darkviolet
GS1_SS_07134_10453	NA	blue1
GS1_SS_07146_19011	NA	blue1
GS1_SS_07147_21296	NA	cornflowerblue
GS1_SS_07151_17711	NA	darkviolet
GS1_SS_07153_20262	NA	blue1
GS1_SS_07154_19675	NA	coral4
GS1_SS_07157_13698	NA	blue1
GS1_SS_07160_13896	NA	blue1
GS1_SS_07162_17884	NA	coral4
GS1_SS_07164_10628	NA	darkviolet
GS1_SS_07165_10690	NA	cornflowerblue
GS1_SS_07167_17454	NA	cornflowerblue
GS1_SS_07168_21338	NA	lightskyblue4
GS1_SS_07169_11323	NA	lavender
GS1_SS_07178_19847	NA	antiquewhite4
GS1_SS_07179_02389	NA	darkviolet
GS1_SS_07193_09089	NA	cornflowerblue
GS1_SS_07195_03898	NA	lavender
GS1_SS_07196_15051	NA	cornflowerblue
GS1_SS_07198_13237	NA	lightskyblue4
GS1_SS_07205_21738	NA	coral4
GS1_SS_07207_11272	NA	cornflowerblue
GS1_SS_07208_10939	NA	darkseagreen3
GS1_SS_07218_10721	NA	antiquewhite2
GS1_SS_07220_21134	NA	coral4
GS1_SS_07223_04063	NA	lavender
GS1_SS_07224_21855	NA	darkviolet
GS1_SS_07228_14649	NA	darkviolet
GS1_SS_07232_02046	NA	darkviolet
GS1_SS_07235_11810	NA	lightskyblue4
GS1_SS_07236_12406	NA	blue1
GS1_SS_07241_15128	NA	darkviolet
GS1_SS_07250_19455	NA	coral4
GS1_SS_07256_03337	NA	cornflowerblue
GS1_SS_07269_13869	NA	cornflowerblue
GS1_SS_07270_14269	NA	lightpink3
GS1_SS_07271_11705	NA	darkviolet
GS1_SS_07272_12019	NA	coral4
GS1_SS_07275_00908	NA	blue1
GS1_SS_07281_07559	NA	blue1
GS1_SS_07282_03732	NA	lightskyblue4
GS1_SS_07283_15500	NA	lavender
GS1_SS_07288_06646	NA	cornflowerblue
GS1_SS_07290_12861	NA	coral4
GS1_SS_07299_02577	NA	lightskyblue3
GS1_SS_07309_07934	NA	lightskyblue4
GS1_SS_07310_01149	NA	blue1
GS1_SS_07315_10030	NA	lavender
GS1_SS_07317_00966	NA	darkviolet
GS1_SS_07321_15808	NA	darkviolet
GS1_SS_07326_19384	NA	antiquewhite2
GS1_SS_07341_02077	NA	darkviolet
GS1_SS_07342_09481	NA	antiquewhite2
GS1_SS_07350_13223	NA	coral4
GS1_SS_07351_20578	NA	antiquewhite2
GS1_SS_07352_06618	NA	lavender
GS1_SS_07353_08361	NA	lightskyblue4
GS1_SS_07354_16464	NA	lavender
GS1_SS_07358_21397	NA	darkviolet
GS1_SS_07361_20152	NA	darkviolet
GS1_SS_07363_13481	NA	darkviolet
GS1_SS_07364_07335	NA	antiquewhite4
GS1_SS_07365_11491	NA	antiquewhite2
GS1_SS_07368_16881	NA	lavender
GS1_SS_07373_04907	NA	lightskyblue4
GS1_SS_07375_12099	NA	lavender
GS1_SS_07376_13098	NA	darkviolet
GS1_SS_07380_11122	NA	cornflowerblue
GS1_SS_07385_06112	NA	coral4
GS1_SS_07388_06200	NA	lightskyblue4
GS1_SS_07401_01754	NA	cornflowerblue
GS1_SS_07407_00879	NA	darkviolet
GS1_SS_07412_14113	NA	cornflowerblue
GS1_SS_07414_18229	NA	coral4
GS1_SS_07425_09714	NA	cornflowerblue
GS1_SS_07426_14853	NA	darkviolet
GS1_SS_07427_09621	NA	cornflowerblue
GS1_SS_07431_13111	NA	antiquewhite2
GS1_SS_07434_05326	NA	antiquewhite2
GS1_SS_07449_09061	NA	cornflowerblue
GS1_SS_07450_04265	NA	coral4
GS1_SS_07453_03849	NA	coral4
GS1_SS_07456_16851	NA	cornflowerblue
GS1_SS_07457_01143	NA	cornflowerblue
GS1_SS_07460_18283	NA	lightskyblue4
GS1_SS_07461_02177	NA	lavender
GS1_SS_07463_04552	NA	cornflowerblue
GS1_SS_07470_00765	NA	cornflowerblue
GS1_SS_07471_07017	NA	cornflowerblue
GS1_SS_07474_19424	NA	lightskyblue4
GS1_SS_07476_06440	NA	cornflowerblue
GS1_SS_07484_02981	NA	lavender
GS1_SS_07488_14290	NA	cornflowerblue
GS1_SS_07493_13517	NA	coral4
GS1_SS_07495_18169	NA	lightskyblue4
GS1_SS_07507_07306	NA	cornflowerblue
GS1_SS_07510_04610	NA	coral4
GS1_SS_07521_21032	NA	cornflowerblue
GS1_SS_07523_20999	NA	lavender
GS1_SS_07529_12765	NA	lightskyblue4
GS1_SS_07534_14390	NA	lightskyblue4
GS1_SS_07539_05870	NA	lightskyblue4
GS1_SS_07540_17361	NA	coral4
GS1_SS_07542_12150	NA	cornflowerblue
GS1_SS_07546_00754	NA	darkviolet
GS1_SS_07550_14733	NA	cornflowerblue
GS1_SS_07558_11971	NA	lightskyblue4
GS1_SS_07562_13627	NA	coral4
GS1_SS_07565_03331	NA	coral4
GS1_SS_07566_02234	NA	darkviolet
GS1_SS_07567_13121	NA	lavender
GS1_SS_07570_13610	NA	darkviolet
GS1_SS_07572_18985	NA	lightskyblue4
GS1_SS_07573_16049	NA	cornflowerblue
GS1_SS_07577_18936	NA	darkviolet
GS1_SS_07585_15536	NA	cornflowerblue
GS1_SS_07586_21362	NA	coral4
GS1_SS_07587_02396	NA	coral4
GS1_SS_07593_16571	NA	cornflowerblue
GS1_SS_07603_12444	NA	darkviolet
GS1_SS_07606_16073	NA	lightskyblue4
GS1_SS_07609_15825	NA	darkviolet
GS1_SS_07630_03468	NA	lavender
GS1_SS_07640_06285	NA	cornflowerblue
GS1_SS_07642_16466	NA	lavender
GS1_SS_07643_02768	NA	darkviolet
GS1_SS_07645_17802	NA	blue1
GS1_SS_07647_21820	NA	coral4
GS1_SS_07650_09535	NA	lightskyblue4
GS1_SS_07651_09132	NA	cornflowerblue
GS1_SS_07679_15841	NA	antiquewhite2
GS1_SS_07687_15950	NA	lavender
GS1_SS_07688_04754	NA	darkviolet
GS1_SS_07691_08509	NA	cornflowerblue
GS1_SS_07697_18675	NA	darkviolet
GS1_SS_07701_08298	NA	lavender
GS1_SS_07704_18776	NA	cornflowerblue
GS1_SS_07710_10743	NA	cornflowerblue
GS1_SS_07713_19265	NA	lavender
GS1_SS_07714_13991	NA	lavender
GS1_SS_07715_10131	NA	lavender
GS1_SS_07726_16461	NA	lightskyblue4
GS1_SS_07728_18250	NA	cornflowerblue
GS1_SS_07735_15374	NA	cornflowerblue
GS1_SS_07744_18917	NA	coral4
GS1_SS_07751_16813	NA	cornflowerblue
GS1_SS_07755_19948	NA	cornflowerblue
GS1_SS_07764_16164	NA	lightskyblue4
GS1_SS_07766_08810	NA	darkviolet
GS1_SS_07775_17380	NA	lavender
GS1_SS_07781_00704	NA	cornflowerblue
GS1_SS_07788_02032	NA	darkviolet
GS1_SS_07794_18157	NA	darkviolet
GS1_SS_07797_05942	NA	lavender
GS1_SS_07801_13295	NA	lightskyblue4
GS1_SS_07803_09391	NA	lightskyblue4
GS1_SS_07804_03675	NA	darkviolet
GS1_SS_07809_08883	NA	darkviolet
GS1_SS_07811_18084	NA	lavender
GS1_SS_07820_03102	NA	darkseagreen3
GS1_SS_07825_01043	NA	darkviolet
GS1_SS_07826_13666	NA	blue1
GS1_SS_07830_20963	NA	coral4
GS1_SS_07831_14075	NA	darkseagreen3
GS1_SS_07834_11442	NA	cornflowerblue
GS1_SS_07838_02752	NA	coral4
GS1_SS_07841_08856	NA	lightskyblue4
GS1_SS_07847_08655	NA	lightskyblue4
GS1_SS_07848_08727	NA	cornflowerblue
GS1_SS_07856_03889	NA	lavender
GS1_SS_07862_09236	NA	cornflowerblue
GS1_SS_07867_11892	NA	coral4
GS1_SS_07869_18566	NA	cornflowerblue
GS1_SS_07870_07002	NA	darkseagreen3
GS1_SS_07876_18866	NA	cornflowerblue
GS1_SS_07877_21256	NA	darkviolet
GS1_SS_07880_06470	NA	cornflowerblue
GS1_SS_07881_07151	NA	blue1
GS1_SS_07883_04471	NA	cornflowerblue
GS1_SS_07890_09682	NA	darkviolet
GS1_SS_07896_01741	NA	lavender
GS1_SS_07897_15170	NA	antiquewhite2
GS1_SS_07898_13022	NA	darkviolet
GS1_SS_07899_05978	NA	cornflowerblue
GS1_SS_07900_04108	NA	lavender
GS1_SS_07903_08943	NA	darkviolet
GS1_SS_07905_09927	NA	darkviolet
GS1_SS_07906_09457	NA	antiquewhite2
GS1_SS_07908_17436	NA	lavender
GS1_SS_07914_11991	NA	coral4
GS1_SS_07915_10907	NA	lightskyblue4
GS1_SS_07916_11980	NA	antiquewhite2
GS1_SS_07917_21846	NA	lightskyblue4
GS1_SS_07919_15902	NA	lightskyblue4
GS1_SS_07922_04924	NA	cornflowerblue
GS1_SS_07926_10374	NA	darkviolet
GS1_SS_07934_08197	NA	antiquewhite2
GS1_SS_07941_09364	NA	cornflowerblue
GS1_SS_07942_12613	NA	coral4
GS1_SS_07948_19304	NA	darkviolet
GS1_SS_07949_08966	NA	lavender
GS1_SS_07952_11674	NA	lavender
GS1_SS_07954_05548	NA	coral4
GS1_SS_07959_08459	NA	darkviolet
GS1_SS_07963_18573	NA	cornflowerblue
GS1_SS_07967_19491	NA	cornflowerblue
GS1_SS_07970_09912	NA	blue1
GS1_SS_07973_08777	NA	darkviolet
GS1_SS_07975_00559	NA	cornflowerblue
GS1_SS_07982_21196	NA	cornflowerblue
GS1_SS_07994_17179	NA	cornflowerblue
GS1_SS_07996_00533	NA	coral4
GS1_SS_08000_15358	NA	coral4
GS1_SS_08001_19828	NA	cornflowerblue
GS1_SS_08002_15649	NA	cornflowerblue
GS1_SS_08011_14527	NA	coral4
GS1_SS_08015_03854	NA	blue1
GS1_SS_08019_13101	NA	coral4
GS1_SS_08023_08569	NA	lightskyblue4
GS1_SS_08024_16075	NA	darkviolet
GS1_SS_08025_17433	NA	coral4
GS1_SS_08026_15032	NA	cornflowerblue
GS1_SS_08030_10876	NA	blue1
GS1_SS_08035_14459	NA	coral4
GS1_SS_08040_17764	NA	darkviolet
GS1_SS_08041_14258	NA	plum3
GS1_SS_08043_04135	NA	cornflowerblue
GS1_SS_08044_02482	NA	lavender
GS1_SS_08051_00576	NA	cornflowerblue
GS1_SS_08058_05483	NA	cornflowerblue
GS1_SS_08060_13661	NA	darkviolet
GS1_SS_08066_01708	NA	lavender
GS1_SS_08068_08908	NA	coral4
GS1_SS_08069_05196	NA	darkviolet
GS1_SS_08070_01762	NA	darkviolet
GS1_SS_08073_04408	NA	lavender
GS1_SS_08074_20805	NA	lavender
GS1_SS_08076_07830	NA	cornflowerblue
GS1_SS_08077_06209	NA	lavender
GS1_SS_08080_12307	NA	coral4
GS1_SS_08083_15603	NA	coral4
GS1_SS_08084_01718	NA	cornflowerblue
GS1_SS_08097_18431	NA	coral4
GS1_SS_08099_11283	NA	cornflowerblue
GS1_SS_08107_09989	NA	blue1
GS1_SS_08108_16898	NA	cornflowerblue
GS1_SS_08110_16284	NA	coral4
GS1_SS_08114_14511	NA	darkviolet
GS1_SS_08115_13190	NA	blue1
GS1_SS_08117_17034	NA	darkviolet
GS1_SS_08120_20481	NA	cornflowerblue
GS1_SS_08124_11564	NA	coral4
GS1_SS_08126_19540	NA	blue1
GS1_SS_08128_18330	NA	cornflowerblue
GS1_SS_08131_04436	NA	lavender
GS1_SS_08133_09372	NA	lavender
GS1_SS_08143_11998	NA	lavender
GS1_SS_08148_19405	NA	cornflowerblue
GS1_SS_08150_13607	NA	coral4
GS1_SS_08158_07445	NA	cornflowerblue
GS1_SS_08161_20608	NA	darkviolet
GS1_SS_08162_13205	NA	lavender
GS1_SS_08163_00789	NA	antiquewhite4
GS1_SS_08169_12673	NA	cornflowerblue
GS1_SS_08172_10001	NA	lightskyblue4
GS1_SS_08183_02674	NA	cornflowerblue
GS1_SS_08185_08279	NA	cornflowerblue
GS1_SS_08189_21412	NA	darkviolet
GS1_SS_08190_06162	NA	lavender
GS1_SS_08191_08901	NA	darkviolet
GS1_SS_08192_06427	NA	blue1
GS1_SS_08199_11751	NA	lavender
GS1_SS_08201_08606	NA	coral4
GS1_SS_08204_10246	NA	coral4
GS1_SS_08205_04579	NA	cornflowerblue
GS1_SS_08206_14279	NA	darkviolet
GS1_SS_08213_06176	NA	darkviolet
GS1_SS_08223_12927	NA	darkviolet
GS1_SS_08225_20851	NA	lavender
GS1_SS_08232_17196	NA	lightskyblue4
GS1_SS_08241_18814	NA	coral4
GS1_SS_08242_15305	NA	cornflowerblue
GS1_SS_08249_10812	NA	cornflowerblue
GS1_SS_08250_07998	NA	lightskyblue4
GS1_SS_08257_00881	NA	darkviolet
GS1_SS_08258_07929	NA	lavender
GS1_SS_08259_00990	NA	lavender
GS1_SS_08260_21632	NA	coral4
GS1_SS_08262_07300	NA	lightskyblue4
GS1_SS_08265_17494	NA	lavender
GS1_SS_08269_19188	NA	lightskyblue4
GS1_SS_08279_13095	NA	lavender
GS1_SS_08283_06242	NA	cornflowerblue
GS1_SS_08290_18795	NA	darkviolet
GS1_SS_08297_10766	NA	coral4
GS1_SS_08300_11087	NA	lightpink3
GS1_SS_08305_13969	NA	coral4
GS1_SS_08306_18679	NA	blue1
GS1_SS_08308_10681	NA	darkviolet
GS1_SS_08310_14354	NA	blue1
GS1_SS_08312_03098	NA	blue1
GS1_SS_08313_05913	NA	darkviolet
GS1_SS_08314_03356	NA	coral4
GS1_SS_08315_15432	NA	blue1
GS1_SS_08318_20873	NA	lavender
GS1_SS_08319_14524	NA	lavender
GS1_SS_08321_07834	NA	lightskyblue4
GS1_SS_08324_10087	NA	lavender
GS1_SS_08335_03755	NA	darkviolet
GS1_SS_08337_07862	NA	cornflowerblue
GS1_SS_08339_09726	NA	cornflowerblue
GS1_SS_08341_16353	NA	cornflowerblue
GS1_SS_08353_09230	NA	cornflowerblue
GS1_SS_08359_15625	NA	lavender
GS1_SS_08360_11984	NA	lavender
GS1_SS_08364_18789	NA	coral4
GS1_SS_08367_12554	NA	lavender
GS1_SS_08369_09651	NA	coral4
GS1_SS_08371_19254	NA	darkseagreen3
GS1_SS_08382_10040	NA	lightskyblue3
GS1_SS_08393_19843	NA	blue1
GS1_SS_08394_08849	NA	darkviolet
GS1_SS_08401_11313	NA	antiquewhite2
GS1_SS_08403_19009	NA	cornflowerblue
GS1_SS_08405_14225	NA	darkviolet
GS1_SS_08409_12760	NA	darkviolet
GS1_SS_08413_04926	NA	darkviolet
GS1_SS_08428_20368	NA	coral4
GS1_SS_08431_10434	NA	coral4
GS1_SS_08436_17742	NA	lightpink3
GS1_SS_08437_01981	NA	lightskyblue4
GS1_SS_08439_14031	NA	lavender
GS1_SS_08444_10240	NA	cornflowerblue
GS1_SS_08450_19845	NA	coral4
GS1_SS_08455_19222	NA	blue1
GS1_SS_08458_14656	NA	cornflowerblue
GS1_SS_08459_17289	NA	coral4
GS1_SS_08460_07270	NA	plum3
GS1_SS_08468_02508	NA	coral4
GS1_SS_08481_12224	NA	blue1
GS1_SS_08484_10600	NA	lavender
GS1_SS_08488_13848	NA	darkviolet
GS1_SS_08493_13349	NA	cornflowerblue
GS1_SS_08494_15138	NA	cornflowerblue
GS1_SS_08499_16439	NA	lavender
GS1_SS_08500_08316	NA	cornflowerblue
GS1_SS_08503_18652	NA	blue1
GS1_SS_08514_03624	NA	lavender
GS1_SS_08520_13486	NA	cornflowerblue
GS1_SS_08522_15103	NA	cornflowerblue
GS1_SS_08527_09147	NA	coral4
GS1_SS_08528_16647	NA	cornflowerblue
GS1_SS_08530_19289	NA	lightskyblue4
GS1_SS_08534_02501	NA	coral4
GS1_SS_08535_02312	NA	darkviolet
GS1_SS_08536_14761	NA	cornflowerblue
GS1_SS_08545_21573	NA	blue1
GS1_SS_08546_12047	NA	coral4
GS1_SS_08551_00137	NA	coral4
GS1_SS_08552_21607	NA	darkviolet
GS1_SS_08559_07490	NA	darkseagreen3
GS1_SS_08560_09831	NA	coral4
GS1_SS_08569_17687	NA	lavender
GS1_SS_08573_19951	NA	lavender
GS1_SS_08574_12359	NA	lavender
GS1_SS_08576_13471	NA	cornflowerblue
GS1_SS_08578_09320	NA	lavender
GS1_SS_08581_04891	NA	coral4
GS1_SS_08582_19866	NA	lightpink3
GS1_SS_08585_20765	NA	lavender
GS1_SS_08592_06652	NA	lightskyblue4
GS1_SS_08597_20430	NA	cornflowerblue
GS1_SS_08598_06625	NA	coral4
GS1_SS_08601_04578	NA	cornflowerblue
GS1_SS_08602_08539	NA	antiquewhite2
GS1_SS_08609_02137	NA	blue1
GS1_SS_08611_11920	NA	cornflowerblue
GS1_SS_08613_17675	NA	darkviolet
GS1_SS_08616_21169	NA	darkviolet
GS1_SS_08621_09584	NA	coral4
GS1_SS_08623_08143	NA	coral4
GS1_SS_08629_12568	NA	darkviolet
GS1_SS_08632_21674	NA	lavender
GS1_SS_08634_06140	NA	lightskyblue4
GS1_SS_08635_13526	NA	cornflowerblue
GS1_SS_08641_02937	NA	coral4
GS1_SS_08644_11121	NA	lightskyblue4
GS1_SS_08646_12245	NA	lavender
GS1_SS_08652_20823	NA	lightskyblue4
GS1_SS_08653_08614	NA	lavender
GS1_SS_08656_12659	NA	cornflowerblue
GS1_SS_08660_04949	NA	darkviolet
GS1_SS_08665_08437	NA	lavender
GS1_SS_08667_18703	NA	coral4
GS1_SS_08668_09040	NA	darkviolet
GS1_SS_08675_21761	NA	cornflowerblue
GS1_SS_08676_10098	NA	lightskyblue4
GS1_SS_08677_16123	NA	darkviolet
GS1_SS_08678_02366	NA	lavender
GS1_SS_08686_07485	NA	darkseagreen3
GS1_SS_08690_07162	NA	coral4
GS1_SS_08691_16003	NA	darkviolet
GS1_SS_08697_08274	NA	lavender
GS1_SS_08699_17946	NA	darkviolet
GS1_SS_08700_17136	NA	lightskyblue4
GS1_SS_08706_21371	NA	coral4
GS1_SS_08708_08658	NA	cornflowerblue
GS1_SS_08709_15153	NA	blue1
GS1_SS_08713_09224	NA	cornflowerblue
GS1_SS_08717_03580	NA	lightskyblue4
GS1_SS_08719_17828	NA	cornflowerblue
GS1_SS_08720_15918	NA	cornflowerblue
GS1_SS_08724_06083	NA	coral4
GS1_SS_08725_10731	NA	lavender
GS1_SS_08727_11684	NA	lightskyblue4
GS1_SS_08732_06998	NA	darkviolet
GS1_SS_08739_04099	NA	blue1
GS1_SS_08740_08568	NA	lavender
GS1_SS_08741_13464	NA	lavender
GS1_SS_08742_01597	NA	coral4
GS1_SS_08749_19055	NA	lavender
GS1_SS_08752_10522	NA	cornflowerblue
GS1_SS_08753_18806	NA	darkviolet
GS1_SS_08755_15279	NA	antiquewhite4
GS1_SS_08756_13930	NA	lavender
GS1_SS_08757_03798	NA	darkseagreen3
GS1_SS_08759_17923	NA	antiquewhite2
GS1_SS_08764_21659	NA	plum3
GS1_SS_08768_04058	NA	cornflowerblue
GS1_SS_08770_08730	NA	blue1
GS1_SS_08771_03998	NA	coral4
GS1_SS_08774_09591	NA	lavender
GS1_SS_08780_09807	NA	lavender
GS1_SS_08788_16131	NA	coral4
GS1_SS_08793_09424	NA	lavender
GS1_SS_08799_14401	NA	lavender
GS1_SS_08800_20477	NA	darkviolet
GS1_SS_08801_05990	NA	cornflowerblue
GS1_SS_08802_02350	NA	coral4
GS1_SS_08816_20069	NA	lightskyblue4
GS1_SS_08817_16397	NA	lavender
GS1_SS_08819_10704	NA	darkviolet
GS1_SS_08821_10157	NA	lavender
GS1_SS_08822_02090	NA	cornflowerblue
GS1_SS_08823_14523	NA	cornflowerblue
GS1_SS_08824_16631	NA	coral4
GS1_SS_08828_01947	NA	cornflowerblue
GS1_SS_08831_18370	NA	darkviolet
GS1_SS_08834_11132	NA	darkviolet
GS1_SS_08835_19838	NA	coral4
GS1_SS_08836_11760	NA	coral4
GS1_SS_08841_08525	NA	coral4
GS1_SS_08842_09684	NA	cornflowerblue
GS1_SS_08845_19043	NA	coral4
GS1_SS_08847_07748	NA	lightskyblue4
GS1_SS_08848_08599	NA	darkviolet
GS1_SS_08850_09629	NA	blue1
GS1_SS_08851_04211	NA	cornflowerblue
GS1_SS_08852_20214	NA	lightpink3
GS1_SS_08857_14036	NA	cornflowerblue
GS1_SS_08860_12706	NA	cornflowerblue
GS1_SS_08866_07353	NA	lightskyblue4
GS1_SS_08869_19374	NA	lavender
GS1_SS_08870_14910	NA	coral4
GS1_SS_08873_11432	NA	lavender
GS1_SS_08877_21083	NA	darkviolet
GS1_SS_08878_11602	NA	cornflowerblue
GS1_SS_08880_20835	NA	cornflowerblue
GS1_SS_08882_01694	NA	cornflowerblue
GS1_SS_08886_17368	NA	darkseagreen3
GS1_SS_08888_08452	NA	cornflowerblue
GS1_SS_08889_19016	NA	lavender
GS1_SS_08890_19487	NA	cornflowerblue
GS1_SS_08891_08911	NA	antiquewhite2
GS1_SS_08894_12329	NA	cornflowerblue
GS1_SS_08904_12441	NA	blue1
GS1_SS_08908_20032	NA	darkviolet
GS1_SS_08909_07286	NA	blue1
GS1_SS_08924_15927	NA	lightskyblue4
GS1_SS_08925_09659	NA	darkviolet
GS1_SS_08935_09414	NA	blue1
GS1_SS_08936_21690	NA	lavender
GS1_SS_08942_12333	NA	coral4
GS1_SS_08946_07668	NA	cornflowerblue
GS1_SS_08949_09078	NA	coral4
GS1_SS_08950_01338	NA	darkviolet
GS1_SS_08951_16006	NA	lavender
GS1_SS_08953_12193	NA	lavender
GS1_SS_08955_00973	NA	blue1
GS1_SS_08958_17339	NA	cornflowerblue
GS1_SS_08964_05262	NA	blue1
GS1_SS_08970_13122	NA	blue1
GS1_SS_08972_10793	NA	cornflowerblue
GS1_SS_08973_12405	NA	cornflowerblue
GS1_SS_08977_00122	NA	darkseagreen3
GS1_SS_08979_01423	NA	cornflowerblue
GS1_SS_08980_09757	NA	lightskyblue4
GS1_SS_08982_10831	NA	darkseagreen3
GS1_SS_08994_10758	NA	lightskyblue4
GS1_SS_08998_01888	NA	darkviolet
GS1_SS_09007_19445	NA	darkviolet
GS1_SS_09008_10186	NA	lavender
GS1_SS_09010_00330	NA	lavender
GS1_SS_09012_11633	NA	cornflowerblue
GS1_SS_09013_20374	NA	darkseagreen3
GS1_SS_09014_13556	NA	coral4
GS1_SS_09017_02772	NA	cornflowerblue
GS1_SS_09022_16527	NA	darkviolet
GS1_SS_09023_16505	NA	coral4
GS1_SS_09027_04193	NA	plum3
GS1_SS_09033_19294	NA	blue1
GS1_SS_09034_18205	NA	blue1
GS1_SS_09050_12656	NA	darkviolet
GS1_SS_09063_19819	NA	cornflowerblue
GS1_SS_09071_09225	NA	cornflowerblue
GS1_SS_09074_09344	NA	lavender
GS1_SS_09075_13638	NA	antiquewhite2
GS1_SS_09079_12157	NA	cornflowerblue
