nodeName	altName	nodeAttr[nodesPresent, ]
GS1_SS_00491_03917	NA	coral4
GS1_SS_00493_13995	NA	lightpink3
GS1_SS_00496_16485	NA	cornflowerblue
GS1_SS_00499_01819	NA	cornflowerblue
GS1_SS_00500_16468	NA	cornflowerblue
GS1_SS_00506_00512	NA	coral4
GS1_SS_00511_18594	NA	lavender
GS1_SS_00512_21477	NA	cornflowerblue
GS1_SS_00519_20465	NA	darkviolet
GS1_SS_00521_21419	NA	coral4
GS1_SS_00522_13919	NA	lightskyblue4
GS1_SS_00525_05735	NA	darkviolet
GS1_SS_00526_08262	NA	blue1
GS1_SS_00536_05784	NA	darkviolet
GS1_SS_00539_09900	NA	cornflowerblue
GS1_SS_00544_15073	NA	darkviolet
GS1_SS_00559_08520	NA	coral4
GS1_SS_00565_10961	NA	blue1
GS1_SS_00568_02606	NA	lightskyblue4
GS1_SS_00571_18039	NA	cornflowerblue
GS1_SS_00572_17628	NA	coral4
GS1_SS_00574_10452	NA	darkviolet
GS1_SS_00578_20354	NA	lightpink3
GS1_SS_00583_19760	NA	lightskyblue4
GS1_SS_00584_09610	NA	cornflowerblue
GS1_SS_00586_15866	NA	coral4
GS1_SS_00592_12669	NA	lavender
GS1_SS_00593_16404	NA	coral4
GS1_SS_00597_09571	NA	darkviolet
GS1_SS_00600_14339	NA	lightskyblue4
GS1_SS_00602_19470	NA	cornflowerblue
GS1_SS_00603_13644	NA	blue1
GS1_SS_00604_17302	NA	lightpink3
GS1_SS_00605_14380	NA	darkviolet
GS1_SS_00606_15578	NA	darkviolet
GS1_SS_00610_06745	NA	darkviolet
GS1_SS_00613_20735	NA	darkviolet
GS1_SS_00615_02705	NA	darkviolet
GS1_SS_00617_06623	NA	cornflowerblue
GS1_SS_00618_08716	NA	cornflowerblue
GS1_SS_00620_20145	NA	lavender
GS1_SS_00622_13801	NA	darkviolet
GS1_SS_00636_12830	NA	antiquewhite2
GS1_SS_00637_10747	NA	antiquewhite2
GS1_SS_00641_09425	NA	lavender
GS1_SS_00646_12332	NA	darkseagreen3
GS1_SS_00647_12034	NA	darkviolet
GS1_SS_00651_17437	NA	lavender
GS1_SS_00654_12804	NA	cornflowerblue
GS1_SS_00655_18036	NA	darkviolet
GS1_SS_00656_03834	NA	cornflowerblue
GS1_SS_00657_13835	NA	blue1
GS1_SS_00658_00816	NA	blue1
GS1_SS_00668_18851	NA	darkviolet
GS1_SS_00676_11010	NA	darkviolet
GS1_SS_00677_13251	NA	cornflowerblue
GS1_SS_00683_02259	NA	blue1
GS1_SS_00686_13386	NA	lightskyblue4
GS1_SS_00688_21138	NA	lightskyblue4
GS1_SS_00689_17735	NA	cornflowerblue
GS1_SS_00692_20131	NA	lavender
GS1_SS_00695_11285	NA	blue1
GS1_SS_00696_07735	NA	lavender
GS1_SS_00697_10637	NA	antiquewhite2
GS1_SS_00700_09031	NA	cornflowerblue
GS1_SS_00702_05940	NA	darkviolet
