V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14
GS1_SS_00277_09034 -1.09553944547326 -1.15582382656211 0.556252596361274 1.34683919406936 1.21938078833864 0.585533581461574 0.168710146504372 -0.899184604212427 -0.96635862885429 -1.49341636065968 0.808069068223848 0.925537490802696
GS1_SS_00522_13919 -0.831455538110113 -1.98669031369546 0.124026826711198 1.29424303310385 0.437138730583827 1.28592001598868 0.791532799347689 0.921371866344314 0.323446316790629 -0.300447046162381 -1.16437622271684 -0.894710468185391
GS1_SS_00743_08174 -0.0303043450943704 0.566116515685347 1.18996803366256 1.78011902993999 1.22993841986461 0.532415993985573 -1.15104262487755 -1.11185597173827 -0.915922706041914 -0.696477448461992 -0.22623761079073 -1.16671728613325
GS1_SS_00984_05811 -1.6031544505006 -1.70358174955054 0.65006895000177 0.838141891858936 1.2818479585705 0.818056432048948 0.953176798043417 -0.224561527178646 -0.909293111610078 -0.964071638364593 0.397357346574276 0.466013100106601
GS1_SS_01179_04305 -0.599227865145588 -0.236326866281532 -0.97426233205677 1.71716148930583 2.05910467972485 0.339461344682107 0.0471550690013325 -0.720562545616852 -1.3934185009575 -0.83086680059073 0.338358302132368 0.253424025802483
GS1_SS_02202_10050 -0.645353626758778 -0.450784324362848 1.21653974715871 0.960324725191793 0.970920083243057 0.75804970784949 -0.244656449547358 -0.279332166806038 -0.960324725191793 -0.704109703224875 1.37932297540085 -2.00059624295221
GS1_SS_02361_16821 -0.978271184015001 -0.514935280159675 0.784002960648534 1.08277473313455 1.50616788665753 1.1546716837328 0.295902551587147 -1.0901108849456 -1.52948113860151 -0.954305533815588 -0.523722685232793 0.767306891009609
GS1_SS_02610_15910 -0.518785641422566 -0.701166271093974 0.504572336178112 1.56508192352667 1.16316905443597 0.61940458448974 -0.672458209016068 -1.08956946391271 -1.38678234189575 -1.26857267451613 0.763282636786073 1.02182406644063
GS1_SS_03019_00127 -1.11999379097351 -0.458359475300155 -0.618755673039149 1.06722708728551 1.26772233445925 1.1692973949376 -0.196804311941681 -0.782797238908575 -0.881222178430231 -1.52098428532099 1.30727457867443 0.767395558557501
GS1_SS_03025_20848 -0.89978111089233 -1.15141137194476 -0.369125358753529 1.32430571260337 1.52723334248437 0.635366409157394 0.786547493418735 -0.665399698379781 -1.21533357535728 -1.19098225977156 0.0900998676671616 1.12848054976821
GS1_SS_03078_13763 0.870496919644368 -0.702690284532201 0.971180900711669 1.13199559269416 1.4074781520033 -0.0860009004949858 -0.0971880095024636 -0.792187156592023 -2.16260801000806 0.101383175380268 0.388052843696887 -1.02991322300093
GS1_SS_06515_12129 -1.08641726251521 -0.0708737589126666 0.669861993073447 0.265903285481333 1.37787564186393 0.976812695616558 0.307891824980154 0.0241072131950133 -1.09800030789419 -0.549253533064762 -2.06808035838422 1.25017256656061
GS1_SS_07606_16073 -0.666540149473708 -0.374645441158266 0.734837843361108 1.4022281715969 1.15425936598912 1.07632631279811 -0.019695807988275 -1.23332599086292 -1.43170103534914 -1.55214302664435 0.563668519261567 0.346731238469848
GS1_SS_08980_09757 -0.245848605230552 -0.190312212087654 0.939928437550233 1.71893892514925 1.11704450216812 0.621719914677414 0.0468431964685025 -1.73332335130113 -0.690139750373732 -1.5682151554709 0.485880899017084 -0.502516800566646
GS1_SS_09872_02104 -1.97026715467625 -0.149985373802499 -1.42752258698454 0.949420288957643 1.51025634223908 0.636298422981653 0.575065702524126 -0.0637029040668931 0.10927953122562 -0.554956320464779 -0.740046134575031 1.12616018664187
GS1_SS_10272_07376 -0.677193562530779 -0.105175436368619 0.561253448480501 1.25767163314783 1.23545733698619 0.670103499672523 -0.410622008591132 -1.17479379655145 -1.54132968321847 -1.4969010908952 1.03986045928298 0.641669200585628
GS1_SS_10504_01272 -0.421232410077226 -0.937286174389408 -0.0272428850988379 0.992779075274657 1.06529248477988 1.39281138437848 0.783698744534592 -0.323339307245172 -0.949371742640279 -0.840601628382442 -1.83161822495385 1.0961106838196
GS1_SS_10520_16010 -0.786344105821221 -0.0590982322210433 -0.2032699361468 1.59522644637008 0.91542948798597 0.86980553104744 0.346954984531879 -1.25170846659423 -1.91781823789678 -0.914091185249107 0.772808998596124 0.632104715397695
GS1_SS_10571_00811 0.10189948500804 -0.133695188976714 0.741644372088593 1.65720741407813 1.0576860079218 -0.185411093022148 -0.093471708052488 -0.306081535794828 -1.17759028915307 -1.03968121169858 -1.85372784945078 1.23122159705203
GS1_SS_10766_14340 -0.675088923096977 -1.33059005970442 0.310149148894819 1.48342997118612 1.50329364199241 1.13912634387716 0.151239782444529 -0.959801537987079 -0.443346097023638 0.701463463778657 -1.44977208454214 -0.430103649819447
GS1_SS_11419_13966 -0.199638479869868 -0.0757707045966764 1.43644838519687 1.26686750238238 1.0235558009529 0.365139590720993 -0.576402962992492 -1.67499216035592 -1.25472649425044 -1.35057655844994 0.638238542870934 0.40185753839126
GS1_SS_11507_13189 -0.840141935117054 -1.38116654482164 0.789045166422732 1.47169392066392 1.85886784097981 0.626024568394986 -0.318170357806965 -0.934897657720681 -0.789197998233383 -1.00723804809549 0.251790408047542 0.273390637286218
GS1_SS_12120_05140 -0.636821559228128 -0.379243331358281 -0.238619542088796 0.891940031048047 2.30653181221434 0.297143171880486 -0.422405088460796 -0.820607105600127 -0.854022659485945 -0.958446265379127 -0.678591001585401 1.49314153804372
GS1_SS_12683_11053 -1.19335531736397 -0.693794490832999 0.233344334198545 1.07842273527543 1.34763851210913 0.78041382722958 -0.123690492832236 -1.00763962104554 -1.22934673137917 -1.27541574131863 1.27939879113631 0.804024194823551
GS1_SS_13261_11151 -0.985596464349058 -0.230404344794086 0.418998649125758 1.38465778963969 1.00683948379995 0.90127260422708 -0.439982381504015 -1.30451956369025 -0.971150470302244 -1.5823271415136 1.11373983974637 0.6884719996144
GS1_SS_13650_21320 -0.91561039581114 -1.18095239321723 -0.505864590292897 1.72878434024272 1.39124043878055 0.488716638079578 -0.199006498054565 -0.623192684384024 -1.29647543970695 -0.720665254859729 1.05766764204147 0.775358197182209
GS1_SS_13865_02461 -1.50948158317108 -1.25531187356834 0.133071800273227 1.49647925987637 1.32017657113459 1.01017767676361 0.050797212193727 -0.481049232177327 -0.788109748402604 -1.22152052489283 0.582202899842927 0.662567542127724
GS1_SS_13964_05594 -0.779107925447114 -0.15979810589698 0.274432258363633 0.036411802370632 0.799133227600003 0.196090993171692 0.329656428908772 -1.55253170930926 -0.967469437384022 -0.452329241859601 2.61510944040991 -0.339597730927664
GS1_SS_14021_04434 -0.170647092051276 0.0106063118199361 0.367137732621551 1.36901094303056 1.5681905077242 1.03040568305137 -0.70444832543023 -1.07293052011346 -1.86367339194721 -1.08089770270121 0.241654606864558 0.305591247131217
GS1_SS_14086_10010 -0.803713113095341 -1.20533350173974 -0.279825227101535 1.57685935185333 1.3792880316331 0.550136261528529 0.409245238092792 0.268354214657054 -0.729219008750008 0.449731164367429 -2.0020965308246 0.386573119378995
