V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14
GS1_SS_00133_18900 0.257920468350049 0.165926503247049 -0.611002851406378 -1.31864873681407 -0.917100839047847 -1.08331533771338 -0.413520278734463 -0.0178968581483924 -0.110713667304193 0.180243989765763 2.13647344089164 1.73163416691422
GS1_SS_00449_11300 0.208851098044942 0.36040142123697 -0.492572079206654 -1.19935986966859 -1.68888082511186 -1.34688673295286 -0.297434273680636 0.452940999115288 0.355036808026633 0.57498594965046 1.59681065088945 1.47610685365686
GS1_SS_01306_09932 -0.110990587922491 -0.46799362402294 -0.727947291086373 -1.06530938345314 -1.89369506916195 -0.985590258887021 0.105059793148007 0.882610095075521 1.07555348351816 0.711618349629352 1.12396263307353 1.35272186008935
GS1_SS_02633_11012 0.0233017265074766 0.0690321021748078 -0.865821366962617 -0.626550980344072 -1.67424379749036 -1.4618736318526 -0.35613296943199 0.49759509643181 0.697223052131305 0.66041222342076 1.56185278649784 1.47520575891764
GS1_SS_02959_16437 0.0841745211183639 0.252290069537842 -0.402660087846376 -0.903504325846072 -2.41070691619015 -0.755235751892782 0.400558643491133 0.47877907226964 0.495123639477089 -0.0274355235267899 1.54456160110396 1.24405505830414
GS1_SS_03201_21192 -0.499068605367878 0.316881641194783 -0.451903851231308 -1.57599715815289 -1.19081833270424 -1.42664210338709 0.232771162984567 0.429762619428307 0.637601969323459 0.574715630474699 1.77152126669016 1.18117576074743
GS1_SS_05550_13006 -0.0952951569501718 -0.924005214662336 -0.706590693639027 -1.43098077938037 -1.23599017756574 -0.855758504027217 0.381456864486591 1.05319948773798 0.640794364900045 0.153532350025474 1.71246271247323 1.30717474660153
GS1_SS_06140_09921 0.0743204791562329 0.477868960397598 -0.224163547928161 -1.30606296144388 -1.81094935441789 -1.39021069360622 -0.17367490863076 0.495900617289527 0.445411977992126 0.607696890019485 1.50976057879971 1.29410196237224
GS1_SS_06528_02894 -0.25406864021091 0.114077036010979 -0.614995773761782 -0.708836828485008 -1.61981691356741 -1.34551229206875 -0.41143287043909 0.380874373131783 0.638143233926844 0.450461124480391 1.6644756308921 1.70663192009084
GS1_SS_07178_19847 0.236862235162855 -0.271447687590745 -1.03674280514405 -1.95713471427251 -1.18278284976591 -0.581641270741049 -0.141596578147899 0.806305199851187 0.816494040173643 0.76781402529969 1.0906870541846 1.45318335099018
GS1_SS_09452_17912 -0.200394840627639 0.115449205027989 -0.874835966255779 -0.831602560766796 -0.682687497415853 -0.0788609340863862 -0.303194271457 -0.408875929318959 -0.526566866483413 -0.480931605133931 2.38376187968331 1.88873938683445
GS1_SS_09508_21559 -0.853018960026282 -0.78736128505992 -0.990214101747037 -0.567849058306711 -1.82318460505163 0.221806978826038 0.740404614530495 0.48169377585707 0.416036100890708 0.0799080036748568 1.17492122766609 1.90685730874632
GS1_SS_11521_16969 -0.0154212581044254 0.430376092742523 0.575695432916741 -1.79936753305563 -1.73124909234896 -1.15602670415935 -0.348444746003674 0.636245157989331 0.626405827665035 0.568126717282667 0.774979715561904 1.43868038951384
GS1_SS_12927_17042 -0.213006447920276 -0.0703392512210855 -0.466435268238655 -1.73435755453982 -1.81217602546665 -0.493152943256867 0.365444185969168 0.768803260273241 0.54831759264722 0.238340683455344 1.45088215794691 1.41767961035147
GS1_SS_13493_02002 0.393200327460169 0.219035017248833 -0.955842838075097 -0.338884366309515 -1.61855660320128 -1.42667956652778 -0.0829499189311619 0.382868487023904 0.0839831029747885 -0.07232288305386 1.94578074958987 1.47036849180113
GS1_SS_14288_09143 -0.191133574960903 -1.0743187568668 -0.650211297990336 -1.36449754451911 -1.77372403992622 -0.472383784531609 0.794730254883502 1.02389709231148 0.825980278169136 0.840861241638486 1.06370366959199 0.977096462200381
GS1_SS_14512_14250 0.0501098667323265 0.526101094637413 -0.682492757203421 -1.28621688982913 -2.08812750242494 -0.764974991641847 0.161002648588433 0.673881764672928 0.165241318969297 0.435599754073029 1.47670884654028 1.33316684688563
GS1_SS_15620_05080 0.385743925745029 0.142221049479575 -0.707895173119829 -0.747744371054176 -1.36319309470687 -1.07760717617738 -0.569308518081488 0.0580949649515087 0.0935164742264838 -0.0636664731812184 1.91285374436239 1.93698464755597
GS1_SS_16175_18631 -0.373481777638081 -0.152923423419141 -1.00580834961254 -1.61056512730964 -1.65503253743443 -0.305891314248406 0.366633796478864 1.07081970321498 0.892060714513341 0.925855946208178 0.309092967777391 1.53923940146948
GS1_SS_17857_11856 -0.890714813275102 -1.47041058973008 0.113207394182268 -1.03172189403442 0.103565884386759 -0.224245448660546 -1.44992238141462 0.475969200238292 0.488021087482678 1.2002876236259 1.72466523762915 0.961298699569724
GS1_SS_17924_09495 0.0462798759117457 0.36347528172875 -0.0643386899824197 -0.38020134199347 -1.60500208966501 -1.59167455160547 -0.598772966169893 -0.0976575351312647 0.215806160029069 0.208609289476919 1.83003756980031 1.67343899760074
GS1_SS_18314_06609 -0.218043368946698 0.55023757068531 0.000218261630577251 -1.32681245227925 -1.35300384794853 -0.0940707627788055 -0.393351110626365 0.14339789128927 -0.0661332740649143 -0.775047050179903 2.4838610082955 1.04874713492381
GS1_SS_18919_10287 -0.225489471930852 0.00374160410191181 -0.302226370602789 -1.28347905362053 -1.62471334771489 -0.857344360995521 -0.0328308752651388 0.112152882225669 0.326363118518394 0.257789719705174 2.00673792943663 1.61929822614194
GS1_SS_20068_10354 0.882738895811008 -0.310952747938715 -0.596050440630757 -1.51827949873023 -2.10087043597049 -0.540270457277966 0.117933346284965 0.561694102736056 0.769939373919809 0.473685684557209 0.961822516653409 1.2986096605857
GS1_SS_20363_19225 0.0553513325043097 0.04953677758702 -0.427256725630728 -1.14244698045735 -1.21609800940968 -0.904050228848476 -0.485402274803624 0.218158870188419 -0.117147130041949 -8.07577071845959e-05 2.11777396166693 1.85166116495231
GS1_SS_20404_02424 -0.435357407558874 0.137540708818002 -0.875869607854066 -1.38683279273074 -1.19328613179261 -1.5571538543563 0.434054193375223 0.930307832020599 0.723599998138672 0.698826025538591 1.28310468557863 1.24106635082287
GS1_SS_20816_04573 -1.01854490871154 -0.474293276088561 -0.763721889968987 -1.32213035696655 -0.107316669467348 -0.878549546562851 0.123439730838404 0.357813988817662 0.626793841934796 -0.208459386165779 2.2370551029641 1.42791336937665
GS1_SS_21557_10314 0.310262319352345 0.150707607570687 -1.17277827092588 -1.65144240627085 -1.08072747566723 -0.184766401816387 -0.299318502582705 0.195710218586027 0.222302670549636 -0.0661231545941292 1.79309835230777 1.78307504349072
GS1_SS_22402_14792 0.00921337379358876 0.211293372332969 -0.587199023111389 -1.08932789486198 -1.5638166452318 -0.968018473246391 -0.381433675054574 0.44469884177055 0.266573615094501 0.0623438293366172 2.07945846521298 1.51621421396492
GS1_SS_22459_13615 0.316172812590616 -0.0270241445438753 -0.441371690352591 -1.38307065809967 -1.97948000433949 -0.953028129495171 0.0845462564904261 0.561014544204857 0.412435373738096 0.506605270512804 1.419320836697 1.483879532597
GS1_SS_23190_12453 0.174486599508498 0.145291456061325 -0.560774841243913 -0.825355828733924 -2.19387817782018 -1.19029512182359 0.367995659669295 0.851540223013108 0.591520976686718 0.262345734319836 0.632576647159306 1.74454667320353
GS1_SS_23503_17871 0.100223995350669 0.247272322525208 0.0910185309665715 -0.852601344146146 -1.96682118907843 -1.36906376153965 -0.460472471680706 0.326176302960327 0.319003213829862 0.497134927236418 1.73006939727791 1.33806007629797
GS1_SS_24852_20045 -0.624945306909813 -0.687941760564875 -0.584996336299286 -1.25490984346044 -1.15350091806448 -0.314879835017336 -0.255263678875472 0.39836294026754 0.287735021653772 0.355340971917742 1.87924055082239 1.95575819453025
GS1_SS_24921_21463 0.0776136943989417 -0.0749252682375328 -0.560945962982713 -1.11289154272941 -1.70551417917916 -0.742940725300714 -0.0942118037432939 0.472111011562238 -0.0328455544067812 0.112680122591235 1.94104368853739 1.72082651948979
GS1_SS_25110_09074 -0.21290592835409 -0.0372488409838847 -0.849512035967602 -0.730568571506913 -0.582320195512432 -1.45284844989863 -0.67023493011381 0.127892954600666 0.158921684459976 0.341646426964802 2.01461211187927 1.89256577443265
GS1_SS_30709_19863 -0.19695897119176 0.526124008073729 -1.99588726618559 -0.603194331507582 -1.10200985252406 -0.717323322716152 0.227632800297467 0.029702801558128 0.360118202679444 0.218055542293951 1.83262162072009 1.42111876850234
