CT	PRR73	Campo
-1.44	-1.095224721	C1
-1.44	-1.125645535	C1
0.52173913	-1.069449996	C1
0.52173913	-1.148101627	C1
2.608695652	-0.206494473	C1
2.608695652	-0.666899663	C1
4.695652174	0.915978247	C1
4.695652174	0.763321072	C1
6.782608696	1.723180714	C1
6.782608696	1.23135912	C1
8.869565217	1.799066817	C1
8.869565217	0.777480578	C1
10.95652174	1.092861452	C1
10.95652174	0.722170007	C1
12.96	0.585110413	C1
12.96	0.069947759	C1
14.88	-0.134811973	C1
14.88	-0.682939728	C1
16.8	-0.59687648	C1
16.8	-0.866792065	C1
18.72	-1.07664037	C1
20.64	-1.010599548	C1
-1.953488372	-0.920050037	C2
-1.953488372	-0.886164678	C2
0.226415094	-1.123362194	C2
0.226415094	-1.179837793	C2
2.037735849	-0.925697597	C2
2.037735849	-0.349646485	C2
3.849056604	0.709835755	C2
3.849056604	0.418421663	C2
5.660377358	1.35591661	C2
5.660377358	1.135661773	C2
7.471698113	1.502753167	C2
7.471698113	1.101776413	C2
9.283018868	1.395449529	C2
9.283018868	1.090481293	C2
11.09433962	1.152604453	C2
11.09433962	0.883215845	C2
13.11627907	0.948162784	C2
13.11627907	0.553454821	C2
15.34883721	0.330884485	C2
15.34883721	0.172188051	C2
17.58139535	-0.123744089	C2
17.58139535	-0.632024481	C2
19.81395349	-0.767565919	C2
19.81395349	-1.078181715	C2
