ProbeName	ZT23a	ZT01a	ZT03a	ZT05a	ZT07a	ZT09a	ZT11a	ZT13a	ZT15a	ZT17a	ZT19a	ZT21a	ZT23b	ZT01b
GS1_SS_12790_19646	-0.0628	-0.2315	-0.16455	0.06815	0.223	0.262	0.3025	0.31	0.4475	0.2065	0.1252	-0.103	-0.3165	-0.3135
GS1_SS_12793_17490	0.4875	-0.2235	0.4355	1.06	1.1185	-0.238	-0.4285	-0.849	-0.9745	-0.8585	-0.231	0.149	-0.4565	-0.21355
GS1_SS_12795_18155	-0.07185	0.0694	-0.243	-0.10015	0.246	0.09925	0.11875	0.14039	0.2005	0.214	0.08085	-0.0958	-0.131	-0.08335
GS1_SS_12810_12073	0.0949	-0.0455	-0.2014	-0.0369	-0.2315	-0.20135	-0.15475	0.0195	-0.0294	-0.051202	0.2079	0.532	0.28095	0.242
GS1_SS_12812_11376	0.568	1.1165	1.24	0.9365	0.0035	-0.637	-1.37	-2.77	-2.16	-2.215	-1.82	-1.02	0.16695	0.9415
GS1_SS_12814_03329	-0.00035	-0.5841	-0.683	-0.933	-0.8965	-0.3153	0.2635	0.7165	0.614	0.6555	0.0143	-0.0718	0.1883	-0.10205
GS1_SS_12815_02919	0.22845	0.371	-0.1268	0.999	0.189955	-0.2445	-0.29625	-0.345	-0.1105	-0.175	0.2625	0.116	-0.122	0.1715
GS1_SS_12817_12577	-0.2235	-0.356	-0.467	-0.1275	0.0035	0.496	0.539	0.279	-0.04005	-0.235	-0.2577	-0.368	-0.259	-0.4505
GS1_SS_12819_07787	0.2202	0.639	0.691	0.6935	0.511	0.284	-0.1286	-0.27255	-0.4485	-0.43955	-0.3193	0.145	0.004	0.3408
GS1_SS_12821_12771	-0.0564	-0.1729	-0.485	-0.7575	-0.778	-0.3105	0.13165	0.469	0.5795	0.4805	0.467	0.349	-0.0265	-0.211
GS1_SS_12823_00062	-0.1475	-0.359	-0.2835	0.04785	0.2405	0.266	0.4445	0.178	0.0655	-0.1335	-0.05085	-0.101	-0.177	-0.088
GS1_SS_12825_16309	-0.0874	-0.283	-0.157005	-0.339	-0.4765	-0.16	0.06275	0.3485	0.2845	0.259	0.198	0.215	0.19535	0.08995
GS1_SS_12835_11275	0.0005	0.2058	0.1502	0.203	0.692	0.6285	0.528	0.19585	0.336	-0.0385	0.0705	-0.479	-0.514555	-0.2522
GS1_SS_12836_09447	0.13635	-0.1945	-0.11885	-0.4772	-0.7595	0.11045	0.2726	0.395	0.6145	0.5305	0.1085	-0.204	-0.35255	-0.822
GS1_SS_12845_08622	-0.0375	-0.06665	-0.219	-0.156	-0.20385	-0.0265	0.016	0.22575	0.197	0.15845	0.13165	0.172	0.4675	0.2525
GS1_SS_12847_18862	0.07285	0.5455	0.7035	0.664	0.4115	0.036	-0.0075	-0.3515	-0.345	-0.645	-0.6615	-0.543	-0.1283	0.357
GS1_SS_12855_01490	0.2095	0.2055	0.555	1.011	0.849	0.5235	0.4675	-0.4118	-0.237	-0.322	-0.176	-0.518	-0.4105	-0.2415
GS1_SS_12859_09283	-1.555	-0.0715	-0.53	0.1745	-0.4135	0.014	0.189	-1.715	-0.1249	0.5365	0.231	2.19	0.007	-1.192
GS1_SS_12860_04387	0.181	0.449	-0.1184	-0.242	-0.246	-0.37075	-0.04565	-0.1775	-0.14	0.3265	0.646	0.671	0.206	0.274
GS1_SS_12861_13230	0.15475	-0.18125	0.3005	0.001	0.2155	-0.076	0.22105	-0.0709	-0.2335	-0.41135	0.091	0.206	0.2685	0.0574
GS1_SS_12866_00742	0.10635	0.068515	0.07605	-0.0997	-0.494	-0.232	0.0375	0.0849	-0.10035	-0.15	0.01055	0.279	0.10175	0.14905
GS1_SS_12869_16367	-0.8945	-0.836	-0.5555	0.5205	0.923	1.015	0.693	0.469	0.354	-0.00115	0.092985	-0.36	-0.336	-1.5375
GS1_SS_12871_11986	0.4085	0.8625	0.8185	0.9575	0.5395	-0.352	-1.225	-0.7215	-0.65	-0.24106	-0.3635	-0.342	0.3525	0.612
GS1_SS_12873_07015	-0.2045	-0.325	-0.4155	-0.546	-0.347	0.01135	0.278	0.263	-0.003	0.1885	0.23365	0.349	0.3685	0.0182
GS1_SS_12874_08955	0.10375	-0.1153	-0.04185	-0.317	-0.00145	0.1296	0.197	0.1083	0.04465	0.11155	0.09035	-0.00184	-0.02775	-0.02265
GS1_SS_12875_10385	0.6576	-0.1251	-0.6835	-0.6215	-1.097	-0.15225	-0.205	0.1995	0.2885	0.286	0.3755	0.613	0.12965	0.1864
GS1_SS_12878_09123	-0.20725	-1.104	-1.83	-1.006	-0.5515	0.8845	0.8545	0.8725	0.3965	-0.02484	-0.133	-0.373	-0.14635	-1.645
GS1_SS_12880_12692	0.4205	0.974	1.145	0.5835	0.0212	-0.3355	-1.061	-1.27	-1.05	-1.039	-0.73	-0.648	0.18195	0.8995
GS1_SS_12881_10424	-0.12055	0.0799	-0.0285	-0.022	0.412	0.2545	0.09697	0.106545	0.204	0.03255	-0.035	-0.0318	-0.0998	-0.03245
GS1_SS_12883_11345	0.2025	0.26495	0.09982	0.0985	0.2271	0.04175	-0.00444	-0.05465	-0.2895	0.13475	0.1738	0.148	0.2175	0.19285
GS1_SS_12894_00460	0.0595	-0.02075	-0.494	-0.825	-0.691	0.2095	0.323	0.7265	0.707	0.302	0.23115	-0.0568	0.0218	-0.216
GS1_SS_12900_08913	0.0165	-0.5322	-0.1785	0.626	0.495	0.20665	0.1505	-0.083355	-0.14925	0.4005	0.177	0.331	0.201	0.169
GS1_SS_12902_17124	0.0845	0.3765	0.2345	0.0405	0.546	0.289	0.2145	0.286	0.3245	0.197	-0.10175	-0.15	-0.221	-0.226
GS1_SS_12903_05592	-0.404	-0.1165	-1.0185	-1.82	-0.729	-0.4	-0.2765	0.2335	-0.063	0.3394	0.201	0.598	0.5555	0.276
GS1_SS_12904_00991	-0.03195	0.583	0.438	-0.098	0.2214	0.532	-0.02635	-0.551	0.1338	0.1605	-0.215	-0.269	0.31755	-0.344
GS1_SS_12906_11233	-0.2965	-0.306	-0.265	-0.1859	-0.1776	0.01245	0.17365	0.505	0.3035	0.276	0.335	0.0904	-0.0536	-0.24
GS1_SS_12909_09288	0.82	1.215	1.445	0.871	0.2695	-0.7805	-2.38	-4.16	-2.965	-2.98	-2.45	-1.77	-0.22125	0.441
GS1_SS_12912_17421	-1.385	-1.38955	-0.2525	0.14305	0.783	0.9545	1.495	0.6855	-0.245	-0.5475	-0.6985	-2.3	-1.252	-1.263
GS1_SS_12914_06952	0.4435	0.47	0.5325	0.6815	1.136	0.30105	-0.2345	-0.2925	-0.6435	-0.272	-0.1033	-0.0645	0.10567	-0.104
GS1_SS_12918_02708	-0.0335	-0.1215	-0.683	-0.0095	-0.294	-0.445	-0.043	0.155	0.5455	0.4335	0.3678	-0.121	-0.108	-0.337
GS1_SS_12921_08001	0.1625	0.1015	0.208095	0.25957	-0.2385	-0.442	-0.24295	-0.037	-0.1981	0.0145	0.1496	0.163	0.2395	0.3025
GS1_SS_12924_16866	-0.271	-0.4235	-0.5175	-0.624	-0.3545	0.4475	0.7135	0.78	0.371	0.261	0.099	-0.139	-0.405	-0.601
GS1_SS_12927_17042	0.2085	-0.07855	0.0131	-0.47	-1	-0.522	-0.0065	0.8045	0.823	0.6315	0.357	-0.0727	-0.3065	-0.482
GS1_SS_12928_14208	-0.796	-0.3425	-0.6495	-0.2304	-0.16425	0.477	0.304	0.6075	0.2835	-0.2595	-0.5285	-0.519	0.403	0.123
GS1_SS_12931_13502	0.4149	0.7425	0.223	0.0005	-0.12565	-0.1333	-0.12	0.053	0.257	0.261	0.16625	-0.0199	0.064	0.23015
GS1_SS_12940_09835	0.3895	0.33735	0.3915	-0.4425	-0.2555	-0.2595	-0.339	-0.2815	-0.114	0.18305	-0.07515	0.231	0.487	0.5455
GS1_SS_12943_06604	-0.08625	-0.19865	-0.1255	-0.13075	0.15255	0.179	0.0236	-0.2085	-0.06875	0.057	0.1265	-0.0321	0.068	-0.195345
GS1_SS_12949_05759	0.202	0.2674	0.1815	-0.1137	0.066	0.4245	0.149	-0.3065	-0.3635	-0.244575	0.018	-0.0192	0.2321	0.069
GS1_SS_12953_15288	0.84	1.1425	1.905	1.1835	0.592	-1.635	-3.595	-4.845	-2.925	-2.49	-1.635	-1.38	-0.2635	0.248
GS1_SS_12954_04284	-0.12115	-0.183395	-0.1152	0.0805	0.366	0.3015	0.2365	0.295	0.1383	-0.05665	-0.15255	-0.101	-0.17845	-0.1323
GS1_SS_12955_10417	0.0989	-0.019	0.07165	0.09785	-0.0577	-0.0197	0.082995	-0.1673	-0.1834	-0.0826	-0.06665	-0.0968	0.0258	0.0419
GS1_SS_12956_01047	0.05165	-0.023	-0.0618	0.392	0.5045	0.1975	-0.2689	-0.3893	0.124	0.2445	-0.2705	0.531	-0.191	0.056
GS1_SS_12959_15601	0.2455	0.14175	0.02365	-0.1069	-0.13765	-0.1137	-0.01025	0.076	0.21985	0.1064	0.14565	0.122	0.0145	-0.1511
GS1_SS_12960_09973	-1.051	-1.076	-0.0845	0.782	0.445	0.4842	0.1205	0.619	0.9645	-0.686	-1.54	-1.46	-0.959	-0.9115
GS1_SS_12963_13717	0.4435	0.3415	0.384	0.375	0.03295	-0.1085	-0.24	-0.1476	0.3995	-0.0465	-0.2795	-0.206	-0.21825	0.16455
GS1_SS_12964_15297	-0.5195	-0.7435	0.133	0.1815	-0.404	-0.1245	0.6747	0.564	0.09845	-0.0255	-0.0985	-0.805	-0.756	-0.15
GS1_SS_12966_05180	0.4785	0.2057	-0.3105	-0.5575	-0.7525	-0.6055	-0.27825	-0.02455	0.46235	0.501	0.4775	0.656	0.214	-0.5265
GS1_SS_12968_02844	0.3325	0.3265	0.4855	0.15125	-0.418	-0.599	-0.29765	-0.3785	-0.572	-0.329	0.164	0.209	0.358	0.4745
GS1_SS_12969_12888	-0.046	-0.808	-0.6995	-0.1675	-0.595	-0.13655	0.458	0.7155	0.85	0.1615	0.1998	0.285	-0.3005	-0.21315
GS1_SS_12977_03395	0.0415	-0.142295	-0.30295	-0.8095	-0.5945	-0.17365	0.2125	0.1481	0.139	0.28405	0.2216	0.141	0.23125	0.0155
GS1_SS_12980_10463	-0.4125	-0.4325	-0.2255	0.1678	0.301	0.3845	0.3995	0.1092	0.0713	-0.15815	-0.2085	-0.267	-0.4105	-0.339
GS1_SS_12984_15678	0.3844	0.334	0.381	0.392	-0.638	-0.5225	-0.6535	-0.3325	-0.278	0.012	0.225	0.111	0.3	0.403
GS1_SS_12995_06051	0.2115	0.285	0.5105	0.2855	-0.21335	-0.364	-0.2875	-0.21	-0.0029	0.1775	0.21	0.243	0.473	0.322
GS1_SS_12997_06596	0.0834	0.2275	0.1267	0.7925	0.4595	0.2815	-0.0785	-0.3385	-0.2005	-0.3075	-0.0075	0.0714	0.03445	0.167
GS1_SS_12998_12986	-0.162	0.2215	0.2086	0.3955	0.587	0.32385	0.0915	-0.2395	-0.105	-0.2411535	-0.296	-0.374	-0.2365	-0.07625
GS1_SS_13002_17391	-0.1895	-0.1655	-0.293	-0.2935	-0.2498	-0.17835	-0.15225	0.39	0.4565	0.2628	0.1023	0.297	-0.1035	-0.072985
GS1_SS_13003_12511	0.2435	-0.0415	0.3581	0.858	0.196	0.0483	-0.00305	-0.0762	-0.06	-0.342	-0.026	0.226	-0.139	0.0309265
GS1_SS_13004_17475	0.03775	-0.26	-0.09675	-0.1555	0.126	0.12545	-0.00315	-0.397	-0.516	-0.2927	-0.1968	0.37	0.551	0.349
GS1_SS_13007_08887	0.1112	0.4235	1.0345	0.962	0.535	-0.335	-0.397	-0.9305	-0.7535	-0.745	-0.15526	-0.182	0.3365	0.221
GS1_SS_13008_08348	0.203	1.126	1.0295	0.6864	0.3825	-0.9085	-0.9685	-0.8495	0.01974	-0.0625	0.279	-0.111	0.18805	0.043
GS1_SS_13018_19546	0.2025	-0.021785	0.034	0.16105	-0.4135	-0.3641	0.089665	0.406	0.1585	0.078	0.1805	0.4	-0.0375	-0.07485
GS1_SS_13032_04158	-0.262	-0.1086	0.1505	0.2985	0.456	0.3405	0.1905	0.12555	-0.0632	-0.2665	-0.284	-0.201	-0.2185	-0.154
GS1_SS_13033_17372	0.0775	0.171	0.5255	0.9815	0.877	0.1505	-0.854	-1.1135	-0.6655	-0.4895	-0.342	-0.022	0.196	0.374
GS1_SS_13034_13479	0.1164	0.159	0.11885	0.2105	0.275	0.2912	-0.262	-0.2355	0.1287	-0.016	-0.17955	-0.213	-0.1242	-0.06575
GS1_SS_13036_12112	0.3455	0.428636	0.618	0.7085	-0.0875	-0.77	-1.0075	-0.6085	-0.2805	-0.1645	0.0035	0.495	0.342	0.578
GS1_SS_13038_09370	0.055	-0.2515	-0.0998	0.3652	0.1925	0.443	0.3914	0.833	0.18455	0.09965	0.01621	-0.277	-0.36685	-0.25194
GS1_SS_13039_14795	-0.0125	-0.194	-0.0445	0.037	-0.4155	-0.641	-0.4875	-0.2685	-0.29744	-0.1347	0.009	-0.0385	0.2565	0.17616
GS1_SS_13048_08838	-0.3415	1.145	-0.8925	0.3905	-1.7848	-1.952	-3.205	-1.5605	-0.1025	0.5925	-0.82446	-1.14	0.8805	1.5
GS1_SS_13050_14496	0.10195	0.15965	0.09345	0.09405	0.31	0.0563	0.04345	-0.1597	-0.1945	-0.20475	-0.1205	0.124	0.09195	0.23795
GS1_SS_13052_18954	0.0304	-0.21925	-0.0426	-0.118	-0.0388	0.09	0.1715	0.27615	0.1523	0.0215	0.1059	-0.128	-0.186	-0.1465
